borrower_id,year,revenue,cogs,ebitda,ebit,interest_expense,total_debt,senior_debt,cash,equity,accounts_receivable,accounts_payable,inventory,capex,operating_cash_flow,FLAG_EMPTY_EBITDA,FLAG_INTEREST_EXPENSE,FLAG_CAPEX
B00001,2022,241892001,130420398,111359261,106521421,102163,71296458,45692363,13773652,546726701,21198040,17319462,29769092,12345067,148709535,0,0,0
B00001,2023,229634427,125675430,86143581,81550893,87587,88529964,64262771,0,336940103,16750101,35905642,22735698,17133038,74141053,0,0,0
B00001,2024,246255301,132581749,100746670,95821564,186229,27814689,18206927,29638657,430890762,41315852,25730159,10547723,6756107,106536725,0,0,0
B00002,2022,170573317,64011759,93585759,90174293,138021,87532572,75565946,16501679,289888498,39663768,16538591,23006600,5957684,74203058,0,0,0
B00002,2023,223072132,78560731,138713034,134251592,57249,0,0,36046137,261119087,50075663,10459633,8618655,14903250,158016108,0,0,0
B00002,2024,210773539,74270032,124168277,119952807,59103,180045425,126691852,8741219,118938517,31706598,19729032,26155937,14537397,99374287,0,0,0
B00003,2022,485327320,236406324,220410168,210703622,415650,348665159,287969436,48485454,500000875,38404153,31461968,60252633,22974675,222316136,0,0,0
B00003,2023,570260449,286523307,240059626,228654418,283326,131140801,110722735,98150134,741078460,91124726,28514780,84836715,45507992,252743910,0,0,0
B00003,2024,688342990,332901885,NULL,310332148,368089,328152789,282337309,49694386,837115887,136676122,62169081,55089290,39219245,442826209,1,0,0
B00004,2022,614755506,315058866,289301524,277006414,434193,554242796,415121216,40013543,647457847,53023681,88582539,30440583,29513912,246255291,0,0,0
B00004,2023,695276027,333882147,358686071,344780551,439198,388721076,234407343,83550219,1231171078,160386307,35986724,29623541,9652238,467108018,0,0,0
B00004,2024,792123687,403005165,NULL,332488394,322978,458200857,335078452,4300810,1553912042,111501851,83652189,118003552,10821521,415991960,1,0,0
B00005,2022,1076550546,533620436,515097329,493566319,468386,83960355,67250733,75841842,2080523689,203653998,91711984,114380275,39069164,516362628,0,0,0
B00005,2023,1138269295,560118651,573093538,550328153,408473,386788876,208542457,128971301,1468763165,268092860,57620910,167817870,21409375,548895367,0,0,0
B00005,2024,1200751510,635576832,558380913,534365883,1030922,406370962,295701127,45084214,1589066478,92909076,180484112,305109228,84007504,711988509,0,0,0
B00006,2022,115448494,56740482,49916376,47607407,84195,19374592,12347870,6299062,171293866,16068674,3822703,15219077,4944197,40397134,0,0,0
B00006,2023,116845282,59763531,53516652,51179747,47816,45160320,27286108,4808422,118469748,11060926,12582903,28561599,2862469,62584121,0,0,0
B00006,2024,106732227,53344986,49981556,47846912,100366,123703280,90440248,0,120432558,12098974,15119892,21630948,1922516,34782527,0,0,0
B00007,2022,125754588,43117161,80846573,78331482,70337,161365699,94678788,14745084,240017668,18612748,6793415,10052534,5052499,111108263,0,0,0
B00007,2023,112057045,40557165,62848634,60607494,47738,120956647,55985685,16672930,119746152,25082269,5951284,8412673,8950788,61967346,0,0,0
B00007,2024,113245554,40281268,NULL,62858112,80248,108723103,74073131,436095,168409090,9426906,4845363,11464062,3329724,50029214,1,0,0
B00008,2022,774564897,365493414,403544912,388053615,563759,622727865,526697174,65608125,1157774553,93269461,73652834,32935161,8265398,247645349,0,0,0
B00008,2023,666756581,328583872,292708133,279373002,448493,112201054,100705777,40810181,316958264,157919488,40395704,146302928,19879581,364375373,0,0,0
B00008,2024,583016587,285613002,289803815,278143484,239565,206538381,168831263,1116014,973506372,76477745,83650409,74027373,45407196,219459601,0,0,0
B00009,2022,37569465,22303594,12923061,12171672,31875,43350694,37109664,957037,69090019,5055214,1482019,9241797,2881277,11501144,0,0,0
B00009,2023,36680663,19631392,16213140,15479527,9236,33536456,23653576,1949480,37932080,8698841,3757621,2115627,1648013,18205883,0,0,0
B00009,2024,38412438,20568219,15531610,14763362,19458,25355865,20223308,1301517,43850033,4962313,5935150,9512936,1011346,19020725,0,0,0
B00010,2022,126426273,42816923,NULL,74465552,63740,118955484,69902136,0,139870050,19966432,3074513,16375708,4819327,75786630,1,0,0
