loan_id,borrower_id,loan_amount,interest_rate,term_years,issue_date,purpose,loan_status,has_collateral
L000001,B00794,2600808,0.0631,1,2023-12-11,M&A,Active,False
L000002,B00499,77590,0.0518,3,2024-01-27,M&A,Active,True
L000003,B00878,316341,0.0533,7,2024-02-09,Working capital,Active,True
L000004,B00421,1928829,0.0792,7,2022-06-16,M&A,Active,False
L000005,B00997,984210,0.0551,4,2022-12-03,Project finance,Active,True
L000006,B00281,57229,0.0614,7,2024-09-06,Equipment purchase,Active,True
L000007,B00428,915493,0.0567,10,2023-05-07,M&A,Active,False
L000008,B00855,515791,0.0692,5,2024-08-19,Equipment purchase,Active,True
L000009,B00009,64914,0.0403,4,2022-08-22,M&A,Active,True
L000010,B00167,210185,0.0717,3,2023-02-26,Expansion,Active,True
L000011,B00608,3565856,0.061,2,2024-05-01,Working capital,Active,True
L000012,B00142,1399724,0.0638,3,2023-09-22,Working capital,Active,False
L000013,B00147,254060,0.0434,10,2022-07-19,Working capital,Active,True
L000014,B00364,341249,0.0467,3,2024-07-13,Equipment purchase,Default,False
L000015,B00612,2382986,0.0441,3,2024-11-11,Expansion,Active,True
L000016,B00427,272842,0.0467,5,2023-05-03,Refinance,Active,True
L000017,B00385,652668,0.0666,7,2024-02-05,M&A,Default,True
L000018,B00730,5013287,0.0894,3,2023-07-15,Working capital,Paid,True
L000019,B00028,73382,0.0739,10,2024-02-25,Equipment purchase,Active,True
L000020,B00595,5963414,0.0739,4,2022-10-18,Working capital,Active,True
L000021,B00403,106229,0.0565,2,2021-08-26,Working capital,Active,False
L000022,B00277,172188,0.0555,7,2021-06-20,Equipment purchase,Active,False
L000023,B00708,515755,0.0546,3,2021-02-24,Project finance,Active,True
L000024,B00210,3154984,0.0552,4,2024-03-08,Expansion,Active,True
L000025,B00319,1430612,0.0491,5,2021-08-20,Working capital,Active,True
L000026,B00902,386430,0.0724,2,2021-04-07,Working capital,Paid,True
L000027,B00455,470746,0.0813,3,2021-05-13,Expansion,Paid,True
