borrower_id,year,revenue,cogs,ebitda,ebit,interest_expense,total_debt,senior_debt,cash,equity,accounts_receivable,accounts_payable,inventory,capex,operating_cash_flow
B00001,2022,241892001,130420398,111359261.0,106521421,102163.0,71296458,45692363,13773652,546726701,21198040,17319462,29769092,12345067.0,148709535
B00001,2023,229634427,125675430,86143581.0,81550893,87587.0,88529964,64262771,0,336940103,16750101,35905642,22735698,17133038.0,74141053
B00001,2024,246255301,132581749,100746670.0,95821564,186229.0,27814689,18206927,29638657,430890762,41315852,25730159,10547723,6756107.0,106536725
B00002,2022,170573317,64011759,93585759.0,90174293,138021.0,87532572,75565946,16501679,289888498,39663768,16538591,23006600,5957684.0,74203058
B00002,2023,223072132,78560731,138713034.0,134251592,57249.0,0,0,36046137,261119087,50075663,10459633,8618655,14903250.0,158016108
B00002,2024,210773539,74270032,124168277.0,119952807,59103.0,180045425,126691852,8741219,118938517,31706598,19729032,26155937,14537397.0,99374287
B00003,2022,485327320,236406324,220410168.0,210703622,415650.0,348665159,287969436,48485454,500000875,38404153,31461968,60252633,22974675.0,222316136
B00003,2023,570260449,286523307,240059626.0,228654418,283326.0,131140801,110722735,98150134,741078460,91124726,28514780,84836715,45507992.0,252743910
B00003,2024,688342990,332901885,,310332148,368089.0,328152789,282337309,49694386,837115887,136676122,62169081,55089290,39219245.0,442826209
B00004,2022,614755506,315058866,289301524.0,277006414,434193.0,554242796,415121216,40013543,647457847,53023681,88582539,30440583,29513912.0,246255291
B00004,2023,695276027,333882147,358686071.0,344780551,439198.0,388721076,234407343,83550219,1231171078,160386307,35986724,29623541,9652238.0,467108018
B00004,2024,792123687,403005165,,332488394,322978.0,458200857,335078452,4300810,1553912042,111501851,83652189,118003552,10821521.0,415991960
B00005,2022,1076550546,533620436,515097329.0,493566319,468386.0,83960355,67250733,75841842,2080523689,203653998,91711984,114380275,39069164.0,516362628
B00005,2023,1138269295,560118651,573093538.0,550328153,408473.0,386788876,208542457,128971301,1468763165,268092860,57620910,167817870,21409375.0,548895367
B00005,2024,1200751510,635576832,558380913.0,534365883,1030922.0,406370962,295701127,45084214,1589066478,92909076,180484112,305109228,84007504.0,711988509
B00006,2022,115448494,56740482,49916376.0,47607407,84195.0,19374592,12347870,6299062,171293866,16068674,3822703,15219077,4944197.0,40397134
B00006,2023,116845282,59763531,53516652.0,51179747,47816.0,45160320,27286108,4808422,118469748,11060926,12582903,28561599,2862469.0,62584121
B00006,2024,106732227,53344986,49981556.0,47846912,100366.0,123703280,90440248,0,120432558,12098974,15119892,21630948,1922516.0,34782527
B00007,2022,125754588,43117161,80846573.0,78331482,70337.0,161365699,94678788,14745084,240017668,18612748,6793415,10052534,5052499.0,111108263
B00007,2023,112057045,40557165,62848634.0,60607494,47738.0,120956647,55985685,16672930,119746152,25082269,5951284,8412673,8950788.0,61967346
B00007,2024,113245554,40281268,,62858112,80248.0,108723103,74073131,436095,168409090,9426906,4845363,11464062,3329724.0,50029214
B00008,2022,774564897,365493414,403544912.0,388053615,563759.0,622727865,526697174,65608125,1157774553,93269461,73652834,32935161,8265398.0,247645349
B00008,2023,666756581,328583872,292708133.0,279373002,448493.0,112201054,100705777,40810181,316958264,157919488,40395704,146302928,19879581.0,364375373
B00008,2024,583016587,285613002,289803815.0,278143484,239565.0,206538381,168831263,1116014,973506372,76477745,83650409,74027373,45407196.0,219459601
B00009,2022,37569465,22303594,12923061.0,12171672,31875.0,43350694,37109664,957037,69090019,5055214,1482019,9241797,2881277.0,11501144
