loan_id,borrower_id,loan_amount,interest_rate,term_years,issue_date,purpose,loan_status,has_collateral
L000001,B00794,2600808,0.0631,1,11-Dec-2023,M&A,Active,False
L000002,B00499,77590,0.0518,3,27-Jan-2024,M&A,Active,True
L000003,B00878,316341,0.0533,7,09-Feb-2024,Working capital,Active,True
L000004,B00421,1928829,0.0792,7,06/16/2022,M&A,Active,False
L000005,B00997,984210,0.0551,4,03-Dec-2022,Project finance,Active,True
L000006,B00281,57229,0.0614,7,06-Sep-2024,Equipment purchase,Active,True
L000007,B00428,915493,0.0567,10,05/07/2023,M&A,Active,False
L000008,B00855,515791,0.0692,5,19-Aug-2024,Equipment purchase,Active,True
L000009,B00009,64914,0.0403,4,22-Aug-2022,M&A,Active,True
L000010,B00167,210185,0.0717,3,26-Feb-2023,Expansion,Active,True
L000011,B00608,3565856,0.061,2,01-May-2024,Working capital,Active,True
L000012,B00142,1399724,0.0638,3,22-Sep-2023,Working capital,Active,False
L000013,B00147,254060,0.0434,10,19-Jul-2022,Working capital,Active,True
L000014,B00364,341249,0.0467,3,2024-07-13,Equipment purchase,Default,False
L000015,B00612,2382986,0.0441,3,11-Nov-2024,Expansion,Active,True
L000016,B00427,272842,0.0467,5,03-May-2023,Refinance,Active,True
L000017,B00385,652668,0.0666,7,05-Feb-2024,M&A,Default,True
L000018,B00730,5013287,0.0894,3,15-Jul-2023,Working capital,Paid,True
L000019,B00028,73382,0.0739,10,02/25/2024,Equipment purchase,Active,True
L000020,B00595,5963414,0.0739,4,18-Oct-2022,Working capital,Active,True
L000021,B00403,106229,0.0565,2,26-Aug-2021,Working capital,Active,False
L000022,B00277,172188,0.0555,7,06/20/2021,Equipment purchase,Active,False
L000023,B00708,515755,0.0546,3,24-Feb-2021,Project finance,Active,True
L000024,B00210,3154984,0.0552,4,08-Mar-2024,Expansion,Active,True
L000025,B00319,1430612,0.0491,5,20-Aug-2021,Working capital,Active,True
L000026,B00902,386430,0.0724,2,04/07/2021,Working capital,Paid,True
L000027,B00455,470746,0.0813,3,13-May-2021,Expansion,Paid,True
L000028,B00560,114206,0.0487,3,11/20/2024,Expansion,Active,True
L000029,B00190,210092,0.0829,2,17-Mar-2022,Refinance,Active,True
L000030,B00297,588096,0.0387,5,22-Jun-2024,Working capital,Active,False
L000031,B00834,4088020,0.0616,4,05/15/2021,Refinance,Active,True
L000032,B00311,729051,0.0838,1,12-Jan-2024,Project finance,Active,False
L000033,B00010,59394,0.0837,10,28-Sep-2023,Project finance,Active,False
L000034,B00526,2806383,0.0538,1,21-Jun-2022,Project finance,Paid,True
L000035,B00144,884498,0.0421,3,03-Jul-2023,Refinance,Past due,True
L000036,B00621,474616,0.0564,5,23-Mar-2023,Equipment purchase,Active,True
L000037,B00850,172753,0.0503,4,28-Jan-2021,Project finance,Active,False
L000038,B00957,2449684,0.0573,5,25-Apr-2023,Expansion,Active,True
L000039,B00902,178459,0.0667,2,07/03/2024,Equipment purchase,Active,True
L000040,B00868,1665386,0.06,5,2024-06-20,Expansion,Active,False
L000041,B00716,229528,0.0218,4,19-Nov-2022,Refinance,Active,False
L000042,B00293,936049,0.0758,3,27-Jul-2022,Working capital,Active,True
L000043,B00645,1447370,0.0481,10,02-Apr-2021,Equipment purchase,Active,True
L000044,B00582,207463,0.0705,4,06-Jun-2021,Project finance,Active,False
L000045,B00509,241003,0.074,2,27-Oct-2022,M&A,Paid,True
L000046,B00874,86227,0.0672,2,14-Aug-2021,M&A,Active,False
L000047,B00802,332638,0.0482,4,16-Feb-2021,Equipment purchase,Active,True
L000048,B00842,1333673,0.0375,10,23-Jul-2023,Expansion,Past due,True
L000049,B00077,1817095,0.0586,4,20-Sep-2022,Working capital,Active,False
L000050,B00914,414017,0.0468,2,05/21/2024,Equipment purchase,Active,False
L000051,B00206,632164,0.0392,3,07-Mar-2021,Project finance,Paid,True
L000052,B00064,273483,0.0874,3,20-Oct-2021,Working capital,Active,True
L000053,B00073,829847,0.0491,10,16-Sep-2021,Working capital,Active,True
L000054,B00509,525906,0.1042,4,16-Jul-2023,Expansion,Active,False
L000055,B00057,459317,0.0491,1,20-Sep-2022,Project finance,Active,True
L000056,B00494,19866214,0.0416,1,05-Dec-2024,Expansion,Active,True
L000057,B00121,494707,0.0757,7,07-Jun-2023,Expansion,Active,True
L000058,B00603,4361129,0.055,1,25-Dec-2024,M&A,Active,False
L000059,B00822,219637,0.0824,1,01/03/2022,Refinance,Active,True
L000060,B00045,208168,0.0452,3,05-May-2022,Working capital,Active,True
L000061,B00079,263699,0.0718,3,23-Aug-2022,Expansion,Active,True
L000062,B00310,568348,0.0605,10,08-Nov-2023,Project finance,Active,False
L000063,B00107,722906,0.0432,1,2024-12-20,Expansion,Paid,True
L000064,B00534,148274,0.0495,3,12-Feb-2022,Working capital,Past due,False
L000065,B00716,245898,0.0553,4,2024-02-01,Equipment purchase,Active,True
L000066,B00308,11198,0.0604,7,09-Jan-2021,Working capital,Paid,True
L000067,B00394,464975,0.0555,4,13-Apr-2022,Working capital,Active,True
L000068,B00033,235387,0.0761,4,20-Jan-2023,Equipment purchase,Paid,True
L000069,B00606,1581285,0.072,3,24-Jun-2021,Refinance,Active,False
L000070,B00951,29100,0.0533,5,18-Feb-2021,Project finance,Active,False
L000071,B00961,73801,0.0476,4,24-Oct-2024,Expansion,Past due,True
