borrower_id,loan_pricing_sensitivity,collateral_coverage_ratio,tlr,sdlr,ebit_coverage_ratio,ebitda_coverage_ratio,capex_adjusted_coverage_ratio,AR,AP,inventory_days,CCC,debt_to_equity,operating_cash_flow_coverage,profit_margin,liquidity_ratio,stdev_op_cash_flow,debt_service_ratio,loan_status,credit_score
B00001,NULL,NULL,0.64800000,0.44566667,829.42733333,871.50616667,753.93043333,9.84900000,18.37800000,14.66400000,6.13500000,0.15256667,2.25116667,0.39486667,0.41960000,37390916.84578847,NULL,NULL,719
B00002,NULL,1.9381,0.79510000,0.60926667,10.67940000,11.07213333,15.20305000,18.22200000,19.71300000,24.63900000,23.14800000,0.60526667,0.69980000,0.56653333,0.11855000,43005971.07741548,0.00282222,Active,681
B00003,NULL,NULL,1.06186667,0.89250000,719.01736667,459.18983333,632.73883333,13.12500000,12.57900000,21.49500000,22.04100000,0.42210000,1.30480000,0.42863333,0.34630000,119500224.62892821,NULL,NULL,777
B00004,NULL,NULL,1.45920000,1.03206667,13.97083333,9.55496667,13.68153333,13.73400000,17.89800000,14.34300000,10.17900000,0.48886667,0.85130000,0.45540000,0.09883333,115613807.71921338,0.00213333,Active,676
B00005,NULL,1.4841,0.52190000,0.34136667,40.62396667,42.38916667,38.95963333,15.06300000,16.76400000,29.82000000,28.11900000,0.18646667,3.10710000,0.46233333,0.44920000,104823055.18610908,0.00190000,Active,703
B00006,NULL,0.2270,1.23566667,0.85560000,24.75736667,25.92873333,23.84893333,10.41900000,16.83900000,34.54800000,28.12800000,0.50716667,1.25070000,0.43290000,0.14386667,14700991.08248292,0.00533333,Paid,742
B00007,NULL,NULL,1.88340000,1.08010000,1055.51460000,821.98333333,982.80813333,13.65000000,12.73800000,21.75300000,22.66500000,0.77600000,0.55366667,0.57296667,0.07773333,32372825.399282843,NULL,NULL,677
B00008,NULL,0.8140,0.87970000,0.74393333,23.30363333,24.34966667,22.20570000,14.65200000,18.51900000,23.83800000,19.97100000,0.36803333,1.56926667,0.46570000,0.15816667,76834145.91151956,0.00298889,Active,652
B00009,NULL,1.1628,2.35183333,1.87753333,10.95610000,11.53096667,10.24490000,15.03000000,16.39200000,29.54100000,28.17900000,0.69660000,0.51946667,0.37676667,0.04383333,4126370.2968154713,0.00420000,Active,604
B00010,NULL,NULL,1.18353333,0.86443333,4.91886667,2.24466667,6.85800000,9.27900000,16.40700000,22.95000000,15.82200000,0.51596667,0.53735000,0.60690000,0.00910000,20052005.27652803,0.00068333,Active,752
B00011,-5.1502,1.0213,1.02580000,0.60516667,23.53570000,19.52596667,22.46663333,18.28800000,11.16900000,15.18900000,22.30800000,0.30046667,1.20633333,0.40316667,0.35043333,32902183.997674823,0.00250000,Active,530
B00011,-5.1302,1.0213,1.02580000,0.60516667,23.53570000,19.52596667,22.46663333,18.28800000,11.16900000,15.18900000,22.30800000,0.30046667,1.20633333,0.40316667,0.35043333,32902183.997674823,0.00250000,Active,530
B00012,NULL,NULL,2.19373333,1.15123333,5.56963333,5.90806667,5.07893333,12.98100000,14.58000000,30.50400000,28.90500000,0.71036667,0.59290000,0.32653333,0.15316667,2054018.3496615437,0.01286667,Active,710
B00013,NULL,1.9226,1.44790000,0.74073333,16.68803333,17.45433333,15.83856667,13.79100000,15.68100000,18.21000000,16.32000000,0.40720000,0.60633333,0.43310000,0.12436667,61616024.68543008,0.00303333,"Past due",710
B00014,NULL,1.4071,1.80363333,1.26443333,8.71616667,9.26470000,7.60343333,14.32200000,19.25400000,33.19800000,28.26600000,1.27890000,0.56196667,0.31153333,0.19243333,163758346.2350602,0.00245000,Active,689
B00015,NULL,0.6993,1.91476667,1.59030000,13.43493333,14.05810000,11.91330000,14.34900000,15.03000000,26.10000000,25.41900000,0.72950000,0.72773333,0.43413333,0.06560000,19119524.363792382,0.00480000,Active,634
B00016,NULL,NULL,1.53890000,1.17316667,418.66410000,446.88353333,377.72363333,15.12300000,22.27500000,26.51100000,19.35900000,0.25070000,0.68656667,0.29800000,0.05773333,19619431.581740003,NULL,NULL,782
B00017,NULL,NULL,0.91433333,0.40453333,995.84606667,1050.00356667,880.45813333,11.34000000,19.37700000,22.83300000,14.79600000,0.25003333,1.32680000,0.36186667,0.12586667,5094475.708297896,NULL,NULL,707
B00018,-5.0234,1.8225,1.39243333,0.80686667,4.51866667,4.77740000,6.04265000,12.44100000,20.85000000,27.66900000,19.26000000,0.65193333,0.47470000,0.34113333,0.02820000,130535038.97508074,0.00370000,Active,647
B00018,-5.045599999999999,1.8225,1.39243333,0.80686667,4.51866667,4.77740000,6.04265000,12.44100000,20.85000000,27.66900000,19.26000000,0.65193333,0.47470000,0.34113333,0.02820000,130535038.97508074,0.00370000,Active,647
B00018,-5.0347,1.8225,1.39243333,0.80686667,4.51866667,4.77740000,6.04265000,12.44100000,20.85000000,27.66900000,19.26000000,0.65193333,0.47470000,0.34113333,0.02820000,130535038.97508074,0.00370000,Active,647
B00019,NULL,NULL,1.90540000,1.09816667,652.76150000,699.72706667,553.09036667,15.60300000,18.63000000,19.26300000,16.23600000,0.50250000,0.50193333,0.27753333,0.04670000,61615618.07005026,NULL,NULL,632
B00020,-5.0218,NULL,2.38383333,1.18340000,6.68866667,7.07856667,5.94660000,11.45100000,16.64100000,33.84900000,28.65900000,0.78330000,0.43100000,0.33816667,0.13873333,62824673.53758301,0.00161667,Paid,748
