borrower_id,loan_pricing_sensitivity,collateral_coverage_ratio,tlr,sdlr,ebit_coverage_ratio,ebitda_coverage_ratio,capex_adjusted_coverage_ratio,AR,AP,inventory_days,CCC,debt_to_equity,operating_cash_flow_coverage,profit_margin,liquidity_ratio,stdev_op_cash_flow,loan_status,credit_score
B00001,NULL,NULL,0.64800000,0.44566667,0.82943333,0.87150000,0.75393333,9.84900000,18.37800000,14.66400000,6.13500000,0.15256667,2.25116667,0.39486667,0.41960000,37390916.84578847,NULL,719
B00002,NULL,1.9381,0.79510000,0.60926667,0.10680000,0.11070000,0.15205000,18.22200000,19.71300000,24.63900000,23.14800000,0.60526667,0.69980000,0.56653333,0.11855000,43005971.07741548,Active,681
B00003,NULL,NULL,1.06186667,0.89250000,0.71900000,0.45920000,0.63273333,13.12500000,12.57900000,21.49500000,22.04100000,0.42210000,1.30480000,0.42863333,0.34630000,119500224.62892821,NULL,777
B00004,NULL,NULL,1.45920000,1.03206667,0.43723333,0.40626667,0.41583333,13.73400000,17.89800000,14.34300000,10.17900000,0.48886667,0.85130000,0.45540000,0.09883333,115613807.71921338,Active,676
B00005,NULL,1.4841,0.52190000,0.34136667,0.40623333,0.42393333,0.38956667,15.06300000,16.76400000,29.82000000,28.11900000,0.18646667,3.10710000,0.46233333,0.44920000,104823055.18610908,Active,703
B00006,NULL,0.2270,1.23566667,0.85560000,0.46426667,0.48563333,0.45616667,10.41900000,16.83900000,34.54800000,28.12800000,0.50716667,1.25070000,0.43290000,0.14386667,14700991.08248292,Paid,742
B00007,NULL,NULL,1.88340000,1.08010000,1.05553333,0.82196667,0.98280000,13.65000000,12.73800000,21.75300000,22.66500000,0.77600000,0.55366667,0.57296667,0.07773333,32372825.399282843,NULL,677
B00008,NULL,0.8140,0.87970000,0.74393333,0.52606667,0.54823333,0.52056667,14.65200000,18.51900000,23.83800000,19.97100000,0.36803333,1.56926667,0.46570000,0.15816667,76834145.91151956,Active,652
B00009,NULL,1.1628,2.35183333,1.87753333,0.31856667,0.33723333,0.27490000,15.03000000,16.39200000,29.54100000,28.17900000,0.69660000,0.51946667,0.37676667,0.04383333,4126370.2968154713,Active,604
B00010,NULL,NULL,1.18353333,0.86443333,0.49186667,0.22446667,0.68580000,9.27900000,16.40700000,22.95000000,15.82200000,0.51596667,0.53735000,0.60690000,0.00910000,20052005.27652803,Active,752
B00011,-5.1502,1.0213,1.02580000,0.60516667,0.23536667,0.19526667,0.22470000,18.28800000,11.16900000,15.18900000,22.30800000,0.30046667,1.20633333,0.40316667,0.35043333,32902183.997674823,Active,530
B00011,-5.1302,1.0213,1.02580000,0.60516667,0.23536667,0.19526667,0.22470000,18.28800000,11.16900000,15.18900000,22.30800000,0.30046667,1.20633333,0.40316667,0.35043333,32902183.997674823,Active,530
B00012,NULL,NULL,2.19373333,1.15123333,0.55693333,0.59080000,0.50790000,12.98100000,14.58000000,30.50400000,28.90500000,0.71036667,0.59290000,0.32653333,0.15316667,2054018.3496615437,Active,710
B00013,NULL,1.9226,1.44790000,0.74073333,0.16690000,0.17453333,0.15840000,13.79100000,15.68100000,18.21000000,16.32000000,0.40720000,0.60633333,0.43310000,0.12436667,61616024.68543008,"Past due",710
B00014,NULL,1.4071,1.80363333,1.26443333,0.44616667,0.47566667,0.40840000,14.32200000,19.25400000,33.19800000,28.26600000,1.27890000,0.56196667,0.31153333,0.19243333,163758346.2350602,Active,689
B00015,NULL,0.6993,1.91476667,1.59030000,0.34933333,0.36546667,0.31176667,14.34900000,15.03000000,26.10000000,25.41900000,0.72950000,0.72773333,0.43413333,0.06560000,19119524.363792382,Active,634
B00016,NULL,NULL,1.53890000,1.17316667,0.41866667,0.44690000,0.37770000,15.12300000,22.27500000,26.51100000,19.35900000,0.25070000,0.68656667,0.29800000,0.05773333,19619431.581740003,NULL,782
B00017,NULL,NULL,0.91433333,0.40453333,0.99586667,1.05003333,0.88046667,11.34000000,19.37700000,22.83300000,14.79600000,0.25003333,1.32680000,0.36186667,0.12586667,5094475.708297896,NULL,707
B00018,-5.0234,1.8225,1.39243333,0.80686667,0.45186667,0.47773333,0.60425000,12.44100000,20.85000000,27.66900000,19.26000000,0.65193333,0.47470000,0.34113333,0.02820000,130535038.97508074,Active,647
B00018,-5.045599999999999,1.8225,1.39243333,0.80686667,0.45186667,0.47773333,0.60425000,12.44100000,20.85000000,27.66900000,19.26000000,0.65193333,0.47470000,0.34113333,0.02820000,130535038.97508074,Active,647
B00018,-5.0347,1.8225,1.39243333,0.80686667,0.45186667,0.47773333,0.60425000,12.44100000,20.85000000,27.66900000,19.26000000,0.65193333,0.47470000,0.34113333,0.02820000,130535038.97508074,Active,647
B00019,NULL,NULL,1.90540000,1.09816667,0.65276667,0.69970000,0.55306667,15.60300000,18.63000000,19.26300000,16.23600000,0.50250000,0.50193333,0.27753333,0.04670000,61615618.07005026,NULL,632
B00020,-5.0218,NULL,2.38383333,1.18340000,0.66886667,0.70786667,0.59466667,11.45100000,16.64100000,33.84900000,28.65900000,0.78330000,0.43100000,0.33816667,0.13873333,62824673.53758301,Paid,748
B00020,-5.0463,NULL,2.38383333,1.18340000,0.66886667,0.70786667,0.59466667,11.45100000,16.64100000,33.84900000,28.65900000,0.78330000,0.43100000,0.33816667,0.13873333,62824673.53758301,Paid,748
B00021,NULL,1.7652,1.20120000,0.59416667,0.40993333,0.42633333,0.39196667,10.40700000,16.87800000,27.41100000,20.94000000,0.40630000,0.75536667,0.50330000,0.18010000,44461067.355063684,"Past due",753
B00022,NULL,1.8214,1.19666667,0.84376667,0.14960000,0.10826667,0.20370000,13.54500000,14.89200000,23.18400000,21.83700000,0.46760000,0.82165000,0.57270000,0.08930000,211824967.21030685,Active,693
B00023,NULL,1.1699,2.43883333,1.30716667,0.48576667,0.51226667,0.43166667,16.67400000,12.27600000,20.80200000,25.20000000,1.14246667,0.43543333,0.36626667,0.06193333,972381224.3697617,Active,661
B00024,NULL,NULL,0.87116667,0.50963333,0.67266667,0.44666667,0.63103333,9.22200000,16.88700000,18.32700000,10.66200000,0.61213333,25.49953333,0.60940000,0.96310000,4931844.417702468,"Past due",755
B00025,NULL,0.6127,1.05746667,0.65500000,0.16133333,0.16846667,0.15846667,9.67200000,11.96400000,24.70200000,22.41000000,0.52973333,0.89990000,0.45203333,0.03886667,30192526.045515805,Active,661
B00026,NULL,NULL,1.37230000,0.94593333,0.89810000,0.77376667,0.84816667,7.34400000,16.26600000,15.84600000,6.92400000,0.73343333,0.53970000,0.38286667,0.05730000,34942985.278126396,NULL,650
B00027,NULL,0.0041,1.14706667,0.77450000,0.44593333,0.46696667,0.40450000,9.99600000,17.13300000,29.96700000,22.83000000,0.85776667,1.02340000,0.44223333,0.28703333,10627911.727638517,Paid,674
B00028,NULL,1.4425,1.97686667,1.15830000,0.85990000,0.57753333,0.78050000,20.01300000,17.44200000,27.69000000,30.26100000,1.28056667,0.36076667,0.42216667,0.02606667,7445362.909210828,Paid,615
B00029,NULL,NULL,1.55930000,1.07736667,0.74413333,0.76933333,1.03810000,17.19600000,13.88100000,22.01100000,25.32600000,0.43973333,0.75966667,0.59790000,0.05643333,2725838118.9872327,NULL,660
B00030,NULL,NULL,3.50043333,2.24500000,0.48910000,0.52500000,0.38946667,12.03900000,16.23900000,18.49500000,14.29500000,1.07330000,0.36813333,0.27200000,0.09846667,60330424.8592559,Paid,702
B00031,NULL,0.8034,1.44216667,0.93536667,0.56416667,0.58903333,0.53040000,12.29100000,11.45100000,13.64700000,14.48700000,0.49566667,0.74346667,0.43833333,0.03760000,818562810.088118,Active,709
B00032,NULL,1.2516,2.18990000,1.18230000,0.56526667,0.59853333,0.56973333,8.17800000,15.23700000,19.71300000,12.65400000,0.92986667,0.40753333,0.34923333,0.15826667,65128693.868580885,Default,682
B00033,-4.9239,0.9483,2.57106667,1.35916667,0.50220000,0.54166667,0.43550000,14.06700000,17.48400000,27.86100000,24.44400000,0.35953333,0.52233333,0.25623333,0.05400000,15189337.923321445,Paid,723
B00034,NULL,1.2628,1.64173333,1.05463333,0.38286667,0.39793333,0.34503333,14.46600000,19.13400000,20.73300000,16.06500000,0.54283333,0.64316667,0.50863333,0.10696667,198369738.48125526,Paid,742
B00035,NULL,1.1544,1.21166667,0.81393333,0.45070000,0.33426667,0.43796667,14.53500000,10.45200000,31.36200000,35.44500000,2.58883333,1.18013333,0.60823333,0.19683333,121491613.0926789,Paid,721
B00036,NULL,1.6792,0.97003333,0.52333333,0.46110000,0.48493333,0.45846667,10.15200000,23.16300000,20.81400000,7.80300000,0.45086667,2.90780000,0.40063333,0.84483333,44673801.84578807,Active,781
B00037,NULL,NULL,0.94010000,0.45460000,0.89046667,0.24386667,1.26765000,12.69900000,16.10700000,16.14900000,12.74100000,0.48173333,4.08543333,0.58466667,0.04096667,47513706.65986878,NULL,602
B00038,NULL,1.4512,0.57810000,0.30063333,0.16750000,0.17603333,0.23525000,12.21900000,10.18800000,20.94000000,22.97100000,0.20983333,2.24610000,0.38113333,0.19510000,67561200.81953272,Paid,737
B00039,NULL,0.9366,1.18910000,0.85796667,0.31250000,0.32493333,0.45475000,18.05700000,15.56700000,24.62400000,27.11400000,0.52323333,0.61720000,0.49166667,0.08205000,93368796.0802788,Active,683
B00040,NULL,NULL,2.13840000,1.24703333,0.71186667,0.60216667,0.62453333,16.42200000,15.68700000,20.19300000,20.92800000,1.17643333,0.49460000,0.36316667,0.07693333,24104325.11788988,NULL,764
B00041,NULL,1.2964,1.05960000,0.56810000,0.40530000,0.42113333,0.40560000,12.06000000,16.36800000,38.94900000,34.64100000,0.78076667,0.98163333,0.48310000,0.05323333,84139769.13363409,Active,728
B00042,NULL,1.1057,1.02940000,0.75336667,0.62260000,0.64943333,0.59990000,14.75100000,21.91200000,21.32400000,14.16300000,0.25566667,8.36983333,0.45663333,0.04966667,2908787.471213392,Paid,772
B00043,NULL,NULL,2.34036667,1.45333333,0.53113333,0.55956667,0.50870000,13.91700000,16.66200000,19.47000000,16.72500000,1.18956667,0.56306667,0.37346667,0.09953333,17618138.7247679,NULL,623
B00044,NULL,1.1934,0.60280000,0.38070000,0.25473333,0.18866667,0.23433333,18.85200000,16.79700000,22.88400000,24.93900000,0.28056667,5.34500000,0.34746667,1.70290000,10916961.292612026,Active,719
B00045,NULL,1.2141,1.40143333,0.89673333,0.50716667,0.52766667,0.49206667,15.78300000,13.26300000,34.60500000,37.12500000,0.83863333,1.29156667,0.51770000,0.02686667,4883595.540294295,Active,741
B00046,NULL,NULL,1.25796667,0.96496667,0.57006667,0.61113333,0.49466667,8.81700000,17.45700000,20.30700000,11.66700000,0.35110000,1.72425000,0.27490000,0.25240000,86149641.55863415,NULL,652
