borrower_id,loan_pricing_sensitivity,collateral_coverage_ratio,tlr,sdlr,ebit_coverage_ratio,ebitda_coverage_ratio,capex_adjusted_coverage_ratio,AR,AP,inventory_days,CCC,debt_to_equity,operating_cash_flow_coverage,profit_margin,liquidity_ratio,stdev_op_cash_flow,loan_status,credit_score,ccr_rating,tlr_rating,sdlr_rating,ebit_coverage_ratio_rating,ebitda_coverage_ratio_rating,capex_adjusted_coverage_ratio_rating,AP_rating,AR_rating,inventory_days_rating,CCC_rating,debt_to_equity_rating,operating_cash_flow_coverage_rating,profit_margin_rating,liquidity_ratio_rating,credit_score_rating,Sum_Score,Is_Creditworthy
B00001,,,0.648,0.44566667,8.29426667,8.71506667,7.5393,9.849,18.378,14.664,6.135,0.15256667,2.25116667,0.39486667,0.4196,37390916.85,,719,0,2,3,3,2,3,1,1,1,1,2,2,3,0,2,26,Credit-worthy
B00002,,1.9381,0.7951,0.60926667,1.06793333,1.10723333,1.5203,18.222,19.713,24.639,23.148,0.60526667,0.6998,0.56653333,0.11855,43005971.08,Active,681,1,2,3,1,0,2,1,1,1,1,2,0,3,0,2,20,Not Credit-worthy
B00003,,,1.06186667,0.8925,7.1902,4.5919,6.32736667,13.125,12.579,21.495,22.041,0.4221,1.3048,0.42863333,0.3463,119500224.6,,777,0,2,3,3,2,3,1,1,1,1,2,1,3,0,3,26,Credit-worthy
B00004,,,1.4592,1.03206667,4.37203333,4.0625,4.1582,13.734,17.898,14.343,10.179,0.48886667,0.8513,0.4554,0.09883333,115613807.7,Active,676,0,2,3,3,2,3,1,1,1,1,2,0,3,0,2,24,Not Credit-worthy
B00005,,1.4841,0.5219,0.34136667,4.0624,4.2389,3.89593333,15.063,16.764,29.82,28.119,0.18646667,3.1071,0.46233333,0.4492,104823055.2,Active,703,1,2,3,3,2,3,1,1,1,1,2,2,3,0,2,27,Credit-worthy
B00006,,0.227,1.23566667,0.8556,4.6426,4.8564,4.56136667,10.419,16.839,34.548,28.128,0.50716667,1.2507,0.4329,0.14386667,14700991.08,Paid,742,0,2,3,3,2,3,1,1,1,1,2,1,3,0,3,26,Credit-worthy
B00007,,,1.8834,1.0801,10.55516667,8.21983333,9.82806667,13.65,12.738,21.753,22.665,0.776,0.55366667,0.57296667,0.07773333,32372825.4,,677,0,2,3,3,2,3,1,1,1,1,2,0,3,0,2,24,Not Credit-worthy
B00008,,0.814,0.8797,0.74393333,5.2609,5.4825,5.20566667,14.652,18.519,23.838,19.971,0.36803333,1.56926667,0.4657,0.15816667,76834145.91,Active,652,0,2,3,3,2,3,1,1,1,1,2,1,3,0,1,24,Not Credit-worthy
B00009,,1.1628,2.35183333,1.87753333,3.18573333,3.37223333,2.74886667,15.03,16.392,29.541,28.179,0.6966,0.51946667,0.37676667,0.04383333,4126370.297,Active,604,1,2,3,3,2,3,1,1,1,1,2,0,3,0,1,24,Not Credit-worthy
B00010,,,1.18353333,0.86443333,4.91886667,2.24466667,6.858,9.279,16.407,22.95,15.822,0.51596667,0.53735,0.6069,0.0091,20052005.28,Active,752,0,2,3,3,1,3,1,1,1,1,2,0,3,0,3,24,Not Credit-worthy
B00011,-5.1502,1.0213,1.0258,0.60516667,2.35356667,1.9526,2.24666667,18.288,11.169,15.189,22.308,0.30046667,1.20633333,0.40316667,0.35043333,32902184,Active,530,1,2,3,2,1,3,1,1,1,1,2,1,3,0,0,22,Not Credit-worthy
B00011,-5.1302,1.0213,1.0258,0.60516667,2.35356667,1.9526,2.24666667,18.288,11.169,15.189,22.308,0.30046667,1.20633333,0.40316667,0.35043333,32902184,Active,530,1,2,3,2,1,3,1,1,1,1,2,1,3,0,0,22,Not Credit-worthy
B00012,,,2.19373333,1.15123333,5.56963333,5.90806667,5.07893333,12.981,14.58,30.504,28.905,0.71036667,0.5929,0.32653333,0.15316667,2054018.35,Active,710,0,2,3,3,2,3,1,1,1,1,2,0,3,0,2,24,Not Credit-worthy
B00013,,1.9226,1.4479,0.74073333,1.6688,1.74543333,1.58386667,13.791,15.681,18.21,16.32,0.4072,0.60633333,0.4331,0.12436667,61616024.69,Past due,710,1,2,3,1,1,2,1,1,1,1,2,0,3,0,2,21,Not Credit-worthy
B00014,,1.4071,1.80363333,1.26443333,4.46163333,4.75646667,4.08403333,14.322,19.254,33.198,28.266,1.2789,0.56196667,0.31153333,0.19243333,163758346.2,Active,689,1,2,3,3,2,3,1,1,1,1,1,0,3,0,2,24,Not Credit-worthy
