borrower_id,loan_pricing_sensitivity,collateral_coverage_ratio,tlr,sdlr,ebit_coverage_ratio,ebitda_coverage_ratio,capex_adjusted_coverage_ratio,AR,AP,inventory_days,CCC,debt_to_equity,operating_cash_flow_coverage,profit_margin,liquidity_ratio,stdev_op_cash_flow,loan_status,credit_score
B00001,NULL,NULL,0.64800000,0.44566667,8.29426667,8.71506667,7.53930000,9.84900000,18.37800000,14.66400000,6.13500000,0.15256667,2.25116667,0.39486667,0.41960000,37390916.84578847,NULL,719
B00002,NULL,1.9381,0.79510000,0.60926667,1.06793333,1.10723333,1.52030000,18.22200000,19.71300000,24.63900000,23.14800000,0.60526667,0.69980000,0.56653333,0.11855000,43005971.07741548,Active,681
B00003,NULL,NULL,1.06186667,0.89250000,7.19020000,4.59190000,6.32736667,13.12500000,12.57900000,21.49500000,22.04100000,0.42210000,1.30480000,0.42863333,0.34630000,119500224.62892821,NULL,777
B00004,NULL,NULL,1.45920000,1.03206667,4.37203333,4.06250000,4.15820000,13.73400000,17.89800000,14.34300000,10.17900000,0.48886667,0.85130000,0.45540000,0.09883333,115613807.71921338,Active,676
B00005,NULL,1.4841,0.52190000,0.34136667,4.06240000,4.23890000,3.89593333,15.06300000,16.76400000,29.82000000,28.11900000,0.18646667,3.10710000,0.46233333,0.44920000,104823055.18610908,Active,703
B00006,NULL,0.2270,1.23566667,0.85560000,4.64260000,4.85640000,4.56136667,10.41900000,16.83900000,34.54800000,28.12800000,0.50716667,1.25070000,0.43290000,0.14386667,14700991.08248292,Paid,742
B00007,NULL,NULL,1.88340000,1.08010000,10.55516667,8.21983333,9.82806667,13.65000000,12.73800000,21.75300000,22.66500000,0.77600000,0.55366667,0.57296667,0.07773333,32372825.399282843,NULL,677
B00008,NULL,0.8140,0.87970000,0.74393333,5.26090000,5.48250000,5.20566667,14.65200000,18.51900000,23.83800000,19.97100000,0.36803333,1.56926667,0.46570000,0.15816667,76834145.91151956,Active,652
B00009,NULL,1.1628,2.35183333,1.87753333,3.18573333,3.37223333,2.74886667,15.03000000,16.39200000,29.54100000,28.17900000,0.69660000,0.51946667,0.37676667,0.04383333,4126370.2968154713,Active,604
B00010,NULL,NULL,1.18353333,0.86443333,4.91886667,2.24466667,6.85800000,9.27900000,16.40700000,22.95000000,15.82200000,0.51596667,0.53735000,0.60690000,0.00910000,20052005.27652803,Active,752
B00011,-5.1502,1.0213,1.02580000,0.60516667,2.35356667,1.95260000,2.24666667,18.28800000,11.16900000,15.18900000,22.30800000,0.30046667,1.20633333,0.40316667,0.35043333,32902183.997674823,Active,530
B00011,-5.1302,1.0213,1.02580000,0.60516667,2.35356667,1.95260000,2.24666667,18.28800000,11.16900000,15.18900000,22.30800000,0.30046667,1.20633333,0.40316667,0.35043333,32902183.997674823,Active,530
B00012,NULL,NULL,2.19373333,1.15123333,5.56963333,5.90806667,5.07893333,12.98100000,14.58000000,30.50400000,28.90500000,0.71036667,0.59290000,0.32653333,0.15316667,2054018.3496615437,Active,710
B00013,NULL,1.9226,1.44790000,0.74073333,1.66880000,1.74543333,1.58386667,13.79100000,15.68100000,18.21000000,16.32000000,0.40720000,0.60633333,0.43310000,0.12436667,61616024.68543008,"Past due",710
