borrower_id,loan_pricing_sensitivity,collateral_coverage_ratio,tlr,sdlr,ebit_coverage_ratio,ebitda_coverage_ratio,capex_adjusted_coverage_ratio,AR,AP,inventory_days,CCC,debt_to_equity,operating_cash_flow_coverage,profit_margin,liquidity_ratio,stdev_op_cash_flow,loan_status,credit_score,ccr_rating,tlr_rating,sdlr_rating,ebit_coverage_ratio_rating,ebitda_coverage_ratio_rating,capex_adjusted_coverage_ratio_rating,AP_rating,AR_rating,inventory_days_rating,CCC_rating,debt_to_equity_rating,operating_cash_flow_coverage_rating,profit_margin_rating,liquidity_ratio_rating,credit_score_rating
B00001,,,0.648,0.44566667,0.82943333,0.8715,0.75393333,9.849,18.378,14.664,6.135,0.15256667,2.25116667,0.39486667,0.4196,37390916.84578847,,719,0,2,3,0,0,0,1,1,1,1,2,2,3,0,2
B00002,,1.9381,0.7951,0.60926667,0.1068,0.1107,0.15205,18.222,19.713,24.639,23.148,0.60526667,0.6998,0.56653333,0.11855,43005971.07741548,Active,681,1,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00003,,,1.06186667,0.8925,0.719,0.4592,0.63273333,13.125,12.579,21.495,22.041,0.4221,1.3048,0.42863333,0.3463,119500224.6289282,,777,0,2,3,0,0,0,1,1,1,1,2,1,3,0,3
B00004,,,1.4592,1.03206667,0.43723333,0.40626667,0.41583333,13.734,17.898,14.343,10.179,0.48886667,0.8513,0.4554,0.09883333,115613807.71921338,Active,676,0,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00005,,1.4841,0.5219,0.34136667,0.40623333,0.42393333,0.38956667,15.063,16.764,29.82,28.119,0.18646667,3.1071,0.46233333,0.4492,104823055.18610908,Active,703,1,2,3,0,0,0,1,1,1,1,2,2,3,0,2
B00006,,0.227,1.23566667,0.8556,0.46426667,0.48563333,0.45616667,10.419,16.839,34.548,28.128,0.50716667,1.2507,0.4329,0.14386667,14700991.08248292,Paid,742,0,2,3,0,0,0,1,1,1,1,2,1,3,0,3
B00007,,,1.8834,1.0801,1.05553333,0.82196667,0.9828,13.65,12.738,21.753,22.665,0.776,0.55366667,0.57296667,0.07773333,32372825.399282843,,677,0,2,3,1,0,0,1,1,1,1,2,0,3,0,2
B00008,,0.814,0.8797,0.74393333,0.52606667,0.54823333,0.52056667,14.652,18.519,23.838,19.971,0.36803333,1.56926667,0.4657,0.15816667,76834145.91151956,Active,652,0,2,3,0,0,0,1,1,1,1,2,1,3,0,1
B00009,,1.1628,2.35183333,1.87753333,0.31856667,0.33723333,0.2749,15.03,16.392,29.541,28.179,0.6966,0.51946667,0.37676667,0.04383333,4126370.2968154713,Active,604,1,2,3,0,0,0,1,1,1,1,2,0,3,0,1
B00010,,,1.18353333,0.86443333,0.49186667,0.22446667,0.6858,9.279,16.407,22.95,15.822,0.51596667,0.53735,0.6069,0.0091,20052005.27652803,Active,752,0,2,3,0,0,0,1,1,1,1,2,0,3,0,3
B00011,-5.1502,1.0213,1.0258,0.60516667,0.23536667,0.19526667,0.2247,18.288,11.169,15.189,22.308,0.30046667,1.20633333,0.40316667,0.35043333,32902183.997674823,Active,530,1,2,3,0,0,0,1,1,1,1,2,1,3,0,0
B00011,-5.1302,1.0213,1.0258,0.60516667,0.23536667,0.19526667,0.2247,18.288,11.169,15.189,22.308,0.30046667,1.20633333,0.40316667,0.35043333,32902183.997674823,Active,530,1,2,3,0,0,0,1,1,1,1,2,1,3,0,0
B00012,,,2.19373333,1.15123333,0.55693333,0.5908,0.5079,12.981,14.58,30.504,28.905,0.71036667,0.5929,0.32653333,0.15316667,2054018.3496615435,Active,710,0,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00013,,1.9226,1.4479,0.74073333,0.1669,0.17453333,0.1584,13.791,15.681,18.21,16.32,0.4072,0.60633333,0.4331,0.12436667,61616024.68543008,Past due,710,1,2,3,0,0,0,1,1,1,1,2,0,3,0,2
B00014,,1.4071,1.80363333,1.26443333,0.44616667,0.47566667,0.4084,14.322,19.254,33.198,28.266,1.2789,0.56196667,0.31153333,0.19243333,163758346.2350602,Active,689,1,2,3,0,0,0,1,1,1,1,1,0,3,0,2
B00015,,0.6993,1.91476667,1.5903,0.34933333,0.36546667,0.31176667,14.349,15.03,26.1,25.419,0.7295,0.72773333,0.43413333,0.0656,19119524.363792382,Active,634,0,2,3,0,0,0,1,1,1,1,2,0,3,0,1
B00016,,,1.5389,1.17316667,0.41866667,0.4469,0.3777,15.123,22.275,26.511,19.359,0.2507,0.68656667,0.298,0.05773333,19619431.581740003,,782,0,2,3,0,0,0,1,1,1,1,2,0,3,0,3
B00017,,,0.91433333,0.40453333,0.99586667,1.05003333,0.88046667,11.34,19.377,22.833,14.796,0.25003333,1.3268,0.36186667,0.12586667,5094475.708297896,,707,0,2,3,0,0,0,1,1,1,1,2,1,3,0,2
B00018,-5.0234,1.8225,1.39243333,0.80686667,0.45186667,0.47773333,0.60425,12.441,20.85,27.669,19.26,0.65193333,0.4747,0.34113333,0.0282,130535038.97508074,Active,647,1,2,3,0,0,0,1,1,1,1,2,0,3,0,1
B00018,-5.045599999999999,1.8225,1.39243333,0.80686667,0.45186667,0.47773333,0.60425,12.441,20.85,27.669,19.26,0.65193333,0.4747,0.34113333,0.0282,130535038.97508074,Active,647,1,2,3,0,0,0,1,1,1,1,2,0,3,0,1
B00018,-5.0347,1.8225,1.39243333,0.80686667,0.45186667,0.47773333,0.60425,12.441,20.85,27.669,19.26,0.65193333,0.4747,0.34113333,0.0282,130535038.97508074,Active,647,1,2,3,0,0,0,1,1,1,1,2,0,3,0,1
B00019,,,1.9054,1.09816667,0.65276667,0.6997,0.55306667,15.603,18.63,19.263,16.236,0.5025,0.50193333,0.27753333,0.0467,61615618.07005026,,632,0,2,3,0,0,0,1,1,1,1,2,0,3,0,1
